my_article;article;text;my_price;price;albom_id;itm_href;img_src;img;img_local
Z2FIAUR;_ С801 кор; 31-36, Натуральная кожа, Натуральная кожа;808,5;490;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/tufli-s801-kor/;http://neposeda-shoes.ru//upload/resize_cache/iblock/cee/2500_200_1/cee0461dc296306c343b2e82ddf2d79e.jpg;.;./img/cee0461dc296306c343b2e82ddf2d79e.jpg
cQYWrGN;_ Е7086; 32-37, Натуральная кожа, Натуральная кожа;1138,5;690;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/tufli-e7086/;http://neposeda-shoes.ru//upload/resize_cache/iblock/539/2500_200_1/53917b8bc7cc6c0693c48f99b2e97f64.jpg;.;./img/53917b8bc7cc6c0693c48f99b2e97f64.jpg
HLX3kDs;_ Е1062; 32-37, Натуральная кожа, Натуральная кожа;1468,5;890;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/tufli-e1062/;http://neposeda-shoes.ru//upload/resize_cache/iblock/96b/2500_200_1/96bcdb710ded80d53f33f7bed2479225.jpg;.;./img/96bcdb710ded80d53f33f7bed2479225.jpg
dQmVBjY;_ LВ-1478С2 красн; 21-26, Комбинированная кожа, Натуральная кожа;858;520;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/mokasiny-lv-1478s2-krasn/;http://neposeda-shoes.ru//upload/resize_cache/iblock/82b/2500_200_1/82b87516c8649649e18897356ad2448e.jpg;.;./img/82b87516c8649649e18897356ad2448e.jpg
VXrKk4x;_ LВ-1478С2 роз; 21-26, Комбинированная кожа, Натуральная кожа;858;520;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/mokasiny-lv-1478s2-roz/;http://neposeda-shoes.ru//upload/resize_cache/iblock/8d9/2500_200_1/8d92f7a0cec431ae3baad8b85c236315.jpg;.;./img/8d92f7a0cec431ae3baad8b85c236315.jpg
4Y3iOpe;_ 3839 красн; 25-30, Комбинированная кожа, Комбинированная кожа;808,5;490;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/tufli-3839-krasn/;http://neposeda-shoes.ru//upload/resize_cache/iblock/b0b/2500_200_1/b0b7d38765ae26e4d7acf2d885bdc59b.jpg;.;./img/b0b7d38765ae26e4d7acf2d885bdc59b.jpg
pJclGE5;_ 3839 беж; 25-30, Комбинированная кожа, Комбинированная кожа;808,5;490;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/tufli-3839-bezh/;http://neposeda-shoes.ru//upload/resize_cache/iblock/a02/2500_200_1/a0280c41ddba94217cce055a8ea33901.jpg;.;./img/a0280c41ddba94217cce055a8ea33901.jpg
1JCL6Fu;_ 3839 черн; 25-30, Комбинированная кожа, Комбинированная кожа;808,5;490;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/tufli-3839-chern/;http://neposeda-shoes.ru//upload/resize_cache/iblock/6b4/2500_200_1/6b4d047f3b467fd2d4d15a36a34e740d.jpg;.;./img/6b4d047f3b467fd2d4d15a36a34e740d.jpg
LEzQDD9;_ ХL-001 роз; 30-37, Натуральная кожа, Натуральная кожа;973,5;590;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/baletki-khl-001-roz/;http://neposeda-shoes.ru//upload/resize_cache/iblock/229/2500_200_1/229b7aae9a44ff9caeb9693377486aee.jpg;.;./img/229b7aae9a44ff9caeb9693377486aee.jpg
r2nRMAc;_ 484-3; 25-30, Прессованная кожа, Текстиль;858;520;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-484-3/;http://neposeda-shoes.ru//upload/resize_cache/iblock/30a/2500_200_1/30af5c6a6d56d3eccffd5379618322b3.jpg;.;./img/30af5c6a6d56d3eccffd5379618322b3.jpg
teiuXVg;_ А306 фиол; 21-26, Прессованная кожа, Натуральная кожа;858;520;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-a306-fiol/;http://neposeda-shoes.ru//upload/resize_cache/iblock/652/2500_200_1/6526558c7cadc1caf3f3c08fc5d80c45.jpg;.;./img/6526558c7cadc1caf3f3c08fc5d80c45.jpg
4BKLGVX;_ А306 малина; 21-26, Прессованная кожа, Натуральная кожа;858;520;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-a306-malina/;http://neposeda-shoes.ru//upload/resize_cache/iblock/08c/2500_200_1/08c9de2d884f08851a29dd4d766b16ad.jpg;.;./img/08c9de2d884f08851a29dd4d766b16ad.jpg
9L2UqBL;_ 529; 26-31, Комбинированная кожа, Натуральная кожа;973,5;590;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-529/;http://neposeda-shoes.ru//upload/resize_cache/iblock/a84/2500_200_1/a8490d1ec3ca93c6637d62957142c355.jpg;.;./img/a8490d1ec3ca93c6637d62957142c355.jpg
3fUuhhm;_ 19; 32-37, Прессованная кожа, Текстиль;1122;680;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-19/;http://neposeda-shoes.ru//upload/resize_cache/iblock/2bf/2500_200_1/2bf32fd398e5bc4c58f86445377030ff.jpg;.;./img/2bf32fd398e5bc4c58f86445377030ff.jpg
4Rzx5R2;_ 777; 33-37, Натуральная кожа, Натуральная кожа;1138,5;690;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-777/;http://neposeda-shoes.ru//upload/resize_cache/iblock/b57/2500_200_1/b57929d68a5c88204b8e6fc8d9074aeb.jpg;.;./img/b57929d68a5c88204b8e6fc8d9074aeb.jpg
3Ni7o3T;_ 1663-16; 26-31, Натуральная кожа, Натуральная кожа;1138,5;690;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-1663-16/;http://neposeda-shoes.ru//upload/resize_cache/iblock/1bc/2500_200_1/1bc0ccf5d3b67d5468f75807933cc915.jpg;.;./img/1bc0ccf5d3b67d5468f75807933cc915.jpg
5ZReKT9;_ 1663-18; 26-31, Натуральная кожа, Натуральная кожа;1138,5;690;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-1663-18/;http://neposeda-shoes.ru//upload/resize_cache/iblock/269/2500_200_1/2693639d4b73e4d244a3ed4a79a904d3.jpg;.;./img/2693639d4b73e4d244a3ed4a79a904d3.jpg
bvUeKOJ;_ 1663-17; 26-31, Натуральная кожа, Натуральная кожа;1138,5;690;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-1663-17/;http://neposeda-shoes.ru//upload/resize_cache/iblock/77e/2500_200_1/77e0e1c8c72879de76cc52bc6d669a98.jpg;.;./img/77e0e1c8c72879de76cc52bc6d669a98.jpg
2656XED;_ 1663-15; 26-31, Натуральная кожа, Натуральная кожа;1138,5;690;212624609;http://neposeda-shoes.ru//catalog/letnyaya-obuv/sandalii-1663-15/;http://neposeda-shoes.ru//upload/resize_cache/iblock/4fd/2500_200_1/4fd22f3ea9dd2421b23613a059c57b2e.jpg;.;./img/4fd22f3ea9dd2421b23613a059c57b2e.jpg
