my_article;article;text;my_price;price;albom_id;itm_href;img_src;img;img_local
el8tFJV;_ S15219; 22-27, Резина, Ворсин;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-s15219/;http://neposeda-shoes.ru//upload/resize_cache/iblock/816/2500_200_1/8167be6d0a2b8e360920a3f3b7bc4765.jpg;.;./img/8167be6d0a2b8e360920a3f3b7bc4765.jpg
CL1WrU4;_ R1122; 22-27, Резина, Ворсин;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-r1122/;http://neposeda-shoes.ru//upload/resize_cache/iblock/696/2500_200_1/6969bc156011c476a15a18f29a499e10.jpg;.;./img/6969bc156011c476a15a18f29a499e10.jpg
uPxJ86b;_ 15206; 22-27, Резина, Ворсин;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-15206/;http://neposeda-shoes.ru//upload/resize_cache/iblock/145/2500_200_1/14546838cecd478e604f397ffd853231.jpg;.;./img/14546838cecd478e604f397ffd853231.jpg
zyjuVvt;_ АВ30-99; 23-28, Резина, Ворсин;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-av30-99/;http://neposeda-shoes.ru//upload/resize_cache/iblock/d90/2500_200_1/d90b89bf66a7c761ac6399c2e759ebd7.jpg;.;./img/d90b89bf66a7c761ac6399c2e759ebd7.jpg
WZgakpD;_ 16901; 32-37, Резина, Ворсин;590;590;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-16901/;http://neposeda-shoes.ru//upload/resize_cache/iblock/f6d/2500_200_1/f6ddfc838e2491bdb2026847c39745ca.jpg;.;./img/f6ddfc838e2491bdb2026847c39745ca.jpg
Z8zCUBz;_ Резиновые сапоги 105608 пираты; 29-36, Резина, Ворсин;560;560;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-105608-piraty/;http://neposeda-shoes.ru//upload/resize_cache/iblock/f95/2500_200_1/f952f60005b8eb8249fd7aa7348a6abc.jpg;.;./img/f952f60005b8eb8249fd7aa7348a6abc.jpg
lvDQkaA;_ Резиновые сапоги SF300000; 25-30, Резина, Флис;640;640;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-sf300000/;http://neposeda-shoes.ru//upload/resize_cache/iblock/b62/2500_200_1/b62139b1363b61932561d8d2ebc54a0e.jpg;.;./img/b62139b1363b61932561d8d2ebc54a0e.jpg
thM2P6x;_ Резиновые сапоги 15254; 22-27, Резина, Ворсин;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-15254/;http://neposeda-shoes.ru//upload/resize_cache/iblock/1d8/2500_200_1/1d87b1dbf2ac4404e106be686ab364e6.jpg;.;./img/1d87b1dbf2ac4404e106be686ab364e6.jpg
KB0HAhR;_ Резиновые сапоги 0062;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0062/;http://neposeda-shoes.ru//upload/resize_cache/iblock/5ec/2500_200_1/5ecfc7b2498c279faac257eb29d8ffa7.jpg;.;./img/5ecfc7b2498c279faac257eb29d8ffa7.jpg
VHvUP5x;_ Резиновые сапоги 0061;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0061/;http://neposeda-shoes.ru//upload/resize_cache/iblock/a07/2500_200_1/a076d29bae7c994ecc7efd2d19e4558d.jpg;.;./img/a076d29bae7c994ecc7efd2d19e4558d.jpg
uQIkXdE;_ Резиновые сапоги 0060;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0060/;http://neposeda-shoes.ru//upload/resize_cache/iblock/5ed/2500_200_1/5ed2f817dd167589d8be3c47ee7630af.jpg;.;./img/5ed2f817dd167589d8be3c47ee7630af.jpg
mtN3xl0;_ Резиновые сапоги 0058;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0058/;http://neposeda-shoes.ru//upload/resize_cache/iblock/133/2500_200_1/133e97f250dc74de41997b43e1012060.jpg;.;./img/133e97f250dc74de41997b43e1012060.jpg
qHAJ8UM;_ Резиновые сапоги 005;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-005/;http://neposeda-shoes.ru//upload/resize_cache/iblock/e91/2500_200_1/e91ff6766eb2ccf09e1a752a132df140.jpg;.;./img/e91ff6766eb2ccf09e1a752a132df140.jpg
40EDoYX;_ Резиновые сапоги 0057;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0057/;http://neposeda-shoes.ru//upload/resize_cache/iblock/d9d/2500_200_1/d9dd707393bbb3918c2b3dc79a80f185.jpg;.;./img/d9dd707393bbb3918c2b3dc79a80f185.jpg
HE5buOw;_ Резиновые сапоги 15660; 29-36, Резина, Ворсин;560;560;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-15660/;http://neposeda-shoes.ru//upload/resize_cache/iblock/683/2500_200_1/683feaa07761101270dac2691d7b4e9a.jpg;.;./img/683feaa07761101270dac2691d7b4e9a.jpg
s1aOvYS;_ Резиновые сапоги 15519; 28-35, Резина, Ворсин;560;560;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-15519/;http://neposeda-shoes.ru//upload/resize_cache/iblock/d4b/2500_200_1/d4bcbc3f6deaf9116e3136ecdcc47d94.jpg;.;./img/d4bcbc3f6deaf9116e3136ecdcc47d94.jpg
2kSt1td;_ Резиновые сапоги 15655; 28-35, Резина, Ворсин;560;560;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-105608/;http://neposeda-shoes.ru//upload/resize_cache/iblock/bc3/2500_200_1/bc375b0ea0e99728228306b786c433e0.jpg;.;./img/bc375b0ea0e99728228306b786c433e0.jpg
anZenES;_ Резиновые сапоги 15554; 28-35, Резина, Ворсин;560;560;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-15554/;http://neposeda-shoes.ru//upload/resize_cache/iblock/5ec/2500_200_1/5ec7e5e9be1675999a5e6e563e157c78.jpg;.;./img/5ec7e5e9be1675999a5e6e563e157c78.jpg
MDPuhUG;_ Резиновые сапоги 15688; 29-36, Резина, Ворсин;560;560;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-15688/;http://neposeda-shoes.ru//upload/resize_cache/iblock/f93/2500_200_1/f93a7020caa72eee9a60becc33aa4701.jpg;.;./img/f93a7020caa72eee9a60becc33aa4701.jpg
MJcfLn3;_ Резиновые сапоги 1410; 32-38, Резина, Ворсин;690;690;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-1410/;http://neposeda-shoes.ru//upload/resize_cache/iblock/13c/2500_200_1/13c5ecabb458d3afae20eca8cf93da8e.jpg;.;./img/13c5ecabb458d3afae20eca8cf93da8e.jpg
hveWNQT;_ Резиновые сапоги 1411; 32-38, Резина, Ворсин;690;690;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-1411/;http://neposeda-shoes.ru//upload/resize_cache/iblock/45c/2500_200_1/45cdd5d3a398a2e935c9d739bdf14e68.jpg;.;./img/45cdd5d3a398a2e935c9d739bdf14e68.jpg
2xu5jid;_ Резиновые сапоги 1407; 32-38, Резина, Ворсин;690;690;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-1407/;http://neposeda-shoes.ru//upload/resize_cache/iblock/03e/2500_200_1/03ea3bb752e2c7e5ea2dbe059bef0d0a.jpg;.;./img/03ea3bb752e2c7e5ea2dbe059bef0d0a.jpg
6997ZLI;_ Резиновые сапоги 1408; 32-38, Резина, Ворсин;690;690;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-1408/;http://neposeda-shoes.ru//upload/resize_cache/iblock/fed/2500_200_1/fed37f642ac7a5bff2977d3bc027a28a.jpg;.;./img/fed37f642ac7a5bff2977d3bc027a28a.jpg
5jZ4vaO;_ Резиновые сапоги 1409; 32-38, Резина, Ворсин;690;690;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-1409/;http://neposeda-shoes.ru//upload/resize_cache/iblock/db5/2500_200_1/db53b14732a7ec955eb84d5905843966.jpg;.;./img/db53b14732a7ec955eb84d5905843966.jpg
JTy0pMW;_ Резиновые сапоги 0039;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0039/;http://neposeda-shoes.ru//upload/resize_cache/iblock/7c7/2500_200_1/7c7a95e4c1995d715e07a128d7047324.jpg;.;./img/7c7a95e4c1995d715e07a128d7047324.jpg
cDPeajk;_ Резиновые сапоги 0037;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0037/;http://neposeda-shoes.ru//upload/resize_cache/iblock/494/2500_200_1/494c43c055ea3ba204c687c4cbb55d0f.jpg;.;./img/494c43c055ea3ba204c687c4cbb55d0f.jpg
uCyALII;_ Резиновые сапоги 0032;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0032/;http://neposeda-shoes.ru//upload/resize_cache/iblock/85f/2500_200_1/85fc535949b4ac3c476ed54d5bd68527.jpg;.;./img/85fc535949b4ac3c476ed54d5bd68527.jpg
LtrRMqV;_ Резиновые сапоги 0052;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0052/;http://neposeda-shoes.ru//upload/resize_cache/iblock/0b4/2500_200_1/0b492d0fa160182d24020ca3547a0a7d.jpg;.;./img/0b492d0fa160182d24020ca3547a0a7d.jpg
iBJ1vh2;_ Резиновые сапоги 0034;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0034/;http://neposeda-shoes.ru//upload/resize_cache/iblock/1cc/2500_200_1/1cc535449ab768967fdae7889709e0f5.jpg;.;./img/1cc535449ab768967fdae7889709e0f5.jpg
U4Z6HPl;_ Резиновые сапоги 0054;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0054/;http://neposeda-shoes.ru//upload/resize_cache/iblock/989/2500_200_1/9898ebd94a0a62470d691fdc9d4a718b.jpg;.;./img/9898ebd94a0a62470d691fdc9d4a718b.jpg
R8FlLeW;_ Резиновые сапоги 0038;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0038/;http://neposeda-shoes.ru//upload/resize_cache/iblock/ffb/2500_200_1/ffbb5e1cebb2fe4d8974a64ec0da9e6e.jpg;.;./img/ffbb5e1cebb2fe4d8974a64ec0da9e6e.jpg
wWFip69;_ Резиновые сапоги 0043;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0043/;http://neposeda-shoes.ru//upload/resize_cache/iblock/b87/2500_200_1/b87111c50da9f63e63ef6ef5f84f2eae.jpg;.;./img/b87111c50da9f63e63ef6ef5f84f2eae.jpg
cx4v8Ox;_ Резиновые сапоги 0033;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0033/;http://neposeda-shoes.ru//upload/resize_cache/iblock/b0c/2500_200_1/b0cae72c7fd05303af450b4251d21a3f.jpg;.;./img/b0cae72c7fd05303af450b4251d21a3f.jpg
E5zyazF;_ Резиновые сапоги 0044;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0044/;http://neposeda-shoes.ru//upload/resize_cache/iblock/152/2500_200_1/152a1cd7e0ef992f8f9d96a4b4e3ffb2.jpg;.;./img/152a1cd7e0ef992f8f9d96a4b4e3ffb2.jpg
Ro0IxG4;_ Резиновые сапоги 0048;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0048/;http://neposeda-shoes.ru//upload/resize_cache/iblock/7c6/2500_200_1/7c6d71d4d9dcb2240cd84c9057a38789.jpg;.;./img/7c6d71d4d9dcb2240cd84c9057a38789.jpg
iU0ORF7;_ Резиновые сапоги 0035;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0035/;http://neposeda-shoes.ru//upload/resize_cache/iblock/b79/2500_200_1/b79a2d2a59b0b6c0c2e81892fdf71f6f.jpg;.;./img/b79a2d2a59b0b6c0c2e81892fdf71f6f.jpg
gMgtjlY;_ Резиновые сапоги 0047;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0047/;http://neposeda-shoes.ru//upload/resize_cache/iblock/6f0/2500_200_1/6f0e213b9599c7a3f8f31f3cdb4057d5.jpg;.;./img/6f0e213b9599c7a3f8f31f3cdb4057d5.jpg
s9w7f6F;_ Резиновые сапоги 0036;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0036/;http://neposeda-shoes.ru//upload/resize_cache/iblock/1fe/2500_200_1/1fe7e6c05514539eeb9f5cac9161ece2.jpg;.;./img/1fe7e6c05514539eeb9f5cac9161ece2.jpg
pFkh3lZ;_ Резиновые сапоги 0053;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0053/;http://neposeda-shoes.ru//upload/resize_cache/iblock/bff/2500_200_1/bffb20dbe34744c2c6615a669681e9e6.jpg;.;./img/bffb20dbe34744c2c6615a669681e9e6.jpg
A14SW4H;_ Резиновые сапоги 0040;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0040/;http://neposeda-shoes.ru//upload/resize_cache/iblock/a32/2500_200_1/a32d5c56d6938cee4069b06c556026f3.jpg;.;./img/a32d5c56d6938cee4069b06c556026f3.jpg
NKP4x6x;_ Резиновые сапоги 0055;Резина, , ;520;520;212624557;http://neposeda-shoes.ru//catalog/rezinovye-sapogi/rezinovye-sapogi-0055/;http://neposeda-shoes.ru//upload/resize_cache/iblock/ac8/2500_200_1/ac882089600ff086b0a09eca3edd3e15.jpg;.;./img/ac882089600ff086b0a09eca3edd3e15.jpg
